node,betweenness
0,1374.572084
1,2987.704978
2,816.324771
3,332.386396
4,8146.236267
5,679.913052
6,4238.805876
7,384.507574
8,3154.160991
9,3883.653304
10,690.908027
11,3764.529521
12,610.887478
13,876.622212
14,2588.016135
15,695.167613
16,600.241294
17,488.842739
18,486.370128
19,595.103889
20,3829.694894
21,557.334234
22,470.559920
23,578.738139
24,2734.839384
25,4474.862182
26,821.131155
27,515.227228
28,3394.452214
29,3396.304206
30,3187.756387
31,2661.310778
32,433.763651
33,876.120787
34,1256.208254
35,2629.611175
36,609.725071
37,420.998920
38,4427.653629
39,5311.469206
40,555.384499
41,620.994910
42,2499.929499
43,4584.653051
44,2638.412071
45,206.431416
46,3380.210183
47,224.260370
48,351.041633
49,312.233174
50,2182.039219
51,3397.499686
52,422.949805
53,389.753840
54,3230.180690
55,3952.513718
56,4881.050889
57,2869.822972
58,569.071423
59,4328.349880
60,568.882835
61,3077.519196
62,494.364489
63,822.818064
64,7165.428137
65,398.980126
66,599.821690
67,1745.567556
68,3489.887260
69,3555.923103
70,2011.013988
71,1586.501004
72,3525.302313
73,2700.316346
74,665.895695
75,626.335692
76,588.887658
77,5340.291448
78,934.349055
79,577.564004
80,3014.228242
81,3290.287934
82,3603.213016
83,3594.183948
84,919.575345
85,670.097997
86,1086.969511
87,373.244253
88,601.027602
89,2657.807685
90,3421.687828
91,3465.300565
92,271.930130
93,2995.773244
94,655.697133
95,3504.174980
96,617.988874
97,465.574751
98,3122.075941
99,3059.624727
100,3460.806355
101,974.127353
102,1052.033757
103,8260.751487
104,1103.636886
105,749.371947
106,5316.833772
107,3876.818306
108,4432.821636
109,3854.127611
110,3427.927963
111,3337.306139
112,567.439191
113,805.696042
114,855.653888
115,711.549328
116,707.935550
117,441.061301
118,420.775697
119,4424.944748
120,628.305669
121,3299.426275
122,584.761023
123,472.358542
124,7830.286514
125,3473.836878
126,761.862193
127,264.286750
128,4341.728748
129,997.037340
130,862.334585
131,828.689146
132,337.681604
133,1005.567551
134,704.147958
135,3594.066941
136,1311.249994
137,896.182223
138,3341.401671
139,7176.203308
140,7143.656830
141,3257.766459
142,763.996515
143,1254.557501
144,1340.558480
145,935.188581
146,856.760404
147,2530.418344
148,3440.758283
149,3185.040712
150,3764.023285
151,4460.205369
152,1293.829583
153,3364.660639
154,1213.907114
155,1032.397591
156,3318.683057
157,7761.353078
158,1186.828566
159,851.834434
160,1002.580897
161,1437.593548
162,213.555626
163,621.875177
164,530.694978
165,533.428757
166,515.284041
167,259.133253
168,3985.318824
169,743.894073
170,813.289388
171,639.384717
172,619.089334
173,4946.172233
174,4719.192695
175,5303.051768
176,613.731302
177,540.813041
178,5060.993839
179,1261.776365
180,1129.737814
181,639.125090
182,331.817636
183,1306.071750
184,5274.376067
185,480.022951
186,445.474685
187,336.069353
188,747.869588
189,649.883571
190,263.748617
191,301.562375
192,883.585835
193,652.126926
194,502.532121
195,532.366089
196,769.794413
197,4480.602579
198,839.784234
199,728.599590
200,1016.775561
201,1955.688713
202,1161.293862
203,3751.493705
204,1767.013320
205,4156.093386
206,11777.612472
207,1072.021307
208,1030.707900
209,1003.252191
210,1151.059283
211,7341.894104
212,4308.088985
213,550.019548
214,3183.038598
215,4420.158894
216,4454.017906
217,750.966011
218,503.034649
219,3811.351793
220,6773.649096
221,1292.232401
222,595.796528
223,669.863147
224,934.393208
225,948.796092
226,170.832818
227,321.483546
228,488.226279
229,581.135805
230,4607.982320
231,277.679144
232,344.286092
233,4732.547308
234,2468.658895
235,707.370448
236,387.046444
237,2129.183917
238,694.146414
239,476.137898
240,436.491762
241,881.472422
242,1133.094710
243,859.098536
244,657.892839
245,748.780574
246,4198.861158
247,4467.891921
248,1353.952161
249,1095.330063
250,4348.366504
251,3216.364522
252,1321.815567
253,4255.272850
254,415.657931
255,1450.417865
256,896.077054
257,2526.916434
258,613.244809
259,428.472497
260,4253.520794
261,807.246105
262,656.098364
263,407.695427
264,1748.497415
265,3254.361669
266,4138.016038
267,365.617061
268,314.757144
269,3754.887903
270,541.306824
271,5433.255232
272,224.902065
273,327.260772
274,659.631501
275,816.064216
276,951.138942
277,1759.257331
278,525.556169
279,7278.426112
280,795.792006
281,3029.372363
282,3231.246438
283,859.373821
284,966.732392
285,8311.334127
286,514.634787
287,1239.054160
288,3454.126373
289,2723.765223
290,3804.020618
291,1014.547415
292,8758.008242
293,1397.197457
294,2196.362125
