node,betweenness
0,35781.227715
1,15442.455786
2,778.206099
3,29313.457436
4,75412.047008
5,62972.147834
6,65080.841089
7,55447.989578
8,19629.374309
9,16670.099132
10,22075.295438
11,4340.737036
12,36528.909226
13,6064.100884
14,9409.781362
15,3889.303185
16,12484.795171
17,1198.971984
18,4955.047090
19,3891.986717
20,7480.245832
21,3938.400739
22,19064.911252
23,4567.837412
24,762.419684
25,12642.526893
26,8673.727081
27,3773.693212
28,3746.507752
29,5109.750422
30,8193.997808
31,4399.627881
32,3308.048431
33,5597.273041
34,17639.653025
35,528.680189
36,1419.138224
37,2025.964885
38,4437.491919
39,1726.957276
40,480.195945
41,5560.966493
42,2041.941213
43,3454.231991
44,969.411863
45,8714.226049
46,4018.340442
47,4659.222494
48,2298.696581
49,4017.764179
50,4624.008674
51,3097.669965
52,1493.041856
53,2100.386486
54,2246.777678
55,1308.469772
56,18197.649245
57,790.325065
58,6412.471446
59,1270.177441
60,2257.395057
61,1843.325422
62,2083.402316
63,109.477128
64,7007.065460
65,1461.287256
66,2218.260047
67,1013.278972
68,2041.218503
69,4170.545900
70,3608.801214
71,8545.718853
72,319.784047
73,2222.666005
74,3547.965715
75,858.719076
76,4573.419313
77,2918.964271
78,5220.670018
79,1402.917867
80,4197.622056
81,7388.561940
82,270.325500
83,413.286350
84,2302.330869
85,5821.889376
86,506.647355
87,741.548533
88,1800.920400
89,525.132606
90,75.133852
91,3876.120673
92,1146.033254
93,2912.943106
94,3807.729673
95,7918.088258
96,1398.378856
97,2434.599051
98,2367.150119
99,4611.467503
100,1005.857060
101,1614.669648
102,3065.182947
103,4036.662761
104,1313.813173
105,3565.644266
106,2652.743019
107,3047.840493
108,1754.437402
109,540.416379
110,2505.623630
111,202.140666
112,2889.229768
113,4711.466892
114,1859.395096
115,4213.814874
116,1529.365530
117,5743.351547
118,324.936244
119,236.157967
120,1758.772444
121,705.678049
122,2559.784343
123,1264.563534
124,56.554405
125,367.038331
126,1183.398945
127,173.728950
128,2211.897143
129,1802.010319
130,1905.097663
131,2053.827011
132,1357.509491
133,845.457654
134,2491.987941
135,579.895319
136,3222.346449
137,904.029949
138,2208.234676
139,2362.743879
140,508.050138
141,470.266880
142,96.329668
143,121.359416
144,351.192001
145,33.387535
146,289.474176
147,511.694489
148,557.380215
149,1222.370284
150,1100.635960
151,2219.951481
152,3318.671910
153,711.909317
154,827.325518
155,754.324236
156,3367.538443
157,1222.854574
158,589.177491
159,346.464612
160,883.713441
161,5197.166262
162,3130.472086
163,588.916525
164,1538.608747
165,773.464832
166,221.116250
167,411.523392
168,1075.668101
169,985.040839
170,940.042510
171,339.800226
172,453.418985
173,740.189327
174,50.384870
175,403.618999
176,196.522073
177,215.936767
178,775.740470
179,754.715936
180,243.951482
181,444.115103
182,95.866619
183,242.449911
184,386.233633
185,557.608865
186,1845.494783
187,379.986447
188,972.720417
189,746.180762
190,2551.762158
191,2762.022326
192,1680.219486
193,1208.884205
194,667.732036
195,810.191133
196,183.272442
197,1663.843120
198,1122.425296
199,4678.378809
200,1918.285712
201,623.735104
202,117.209777
203,972.677791
204,1274.873314
205,369.608940
206,3492.329764
207,691.249872
208,1162.363660
209,1315.510744
210,138.799300
211,114.250438
212,127.635013
213,2214.634467
214,1546.550184
215,132.821272
216,510.104200
217,1091.333981
218,1273.459003
219,710.416323
220,484.905252
221,117.748355
222,975.168371
223,1539.363811
224,2376.931600
225,110.869751
226,335.970606
227,1160.570047
228,448.915555
229,2585.724717
230,2406.449312
231,442.616000
232,754.178213
233,813.781122
234,766.777318
235,1234.695544
236,758.361672
237,474.147454
238,2479.539229
239,46.849340
240,1218.743954
241,2084.353121
242,1270.586287
243,1256.651897
244,213.627825
245,224.656509
246,1956.503649
247,1057.304170
248,305.306115
249,644.882462
250,681.506841
251,350.071458
252,704.428953
253,1711.190034
254,333.263154
255,4471.420812
256,446.625300
257,546.932556
258,1803.479686
259,1374.177653
260,333.329232
261,236.809035
262,1167.295769
263,919.452170
264,241.000038
265,716.312659
266,1189.696994
267,432.950541
268,1217.162928
269,67.206497
270,570.063854
271,292.333366
272,483.043694
273,799.788050
274,503.560769
275,77.356827
276,169.899794
277,118.941263
278,213.526461
279,994.188239
