node,value
0,0.0007224245030487778
1,0.0008957900720728021
2,0.0009009510745464966
3,0.000714860860108404
4,0.0008809635199678522
5,0.0008552245974277447
6,0.0008499668103935929
7,0.0009287067885227864
8,0.0007642137225369835
9,0.0009900064998113927
10,0.0010100662459055817
11,0.0005505786597941289
12,0.0006406958322942364
13,0.0010271608422153667
14,0.0010727841232064002
15,0.0007085667552793454
16,0.001252103851810526
17,0.0011594220439659745
18,0.0006674284237863593
19,0.0009429597533283911
20,0.0009053032884764653
21,0.0010693335797476726
22,0.0011450900672720968
23,0.0010798805304068214
24,0.0007990091716410669
25,0.0009575537783194451
26,0.00052594800504676
27,0.0010503401721764663
28,0.0008172606538179359
29,0.0008910034667528084
30,0.0008652072677762498
31,0.0009184409363154635
32,0.000854714352867696
33,0.0008241853117748482
34,0.0007695859927551682
35,0.0007898395044302754
36,0.0007192528499380959
37,0.0004955105976936414
38,0.0009387476682328551
39,0.0010477114507849705
40,0.0007657783075360248
41,0.001500789660339156
42,0.0010659552605378827
43,0.0009591470043425752
44,0.0011823142072223806
45,0.0007750691984022357
46,0.0009554354379444831
47,0.0008058803075101303
48,0.00104810284777672
49,0.0009909584744655364
50,0.0007457305427976876
51,0.0010893874952519333
52,0.0008241917724867228
53,0.0010524531184885168
54,0.0007694916376866816
55,0.0008324927813033014
56,0.0007865304728417081
57,0.0007533629278099662
58,0.0010909709220650193
59,0.0011785123950932936
60,0.0009736465050167318
61,0.0009299302741217879
62,0.0009589444175733601
63,0.000999588537703375
64,0.0008913055083047929
65,0.0009979389410979013
66,0.000888945675505941
67,0.0011109650448376564
68,0.0007252202750635538
69,0.0009420576423050999
70,0.001151637750720243
71,0.0007405765912287036
72,0.0008759400531570663
73,0.001273325910881568
74,0.0009071723014980375
75,0.0011809502447472885
76,0.0008260359618138994
77,0.001027322476258466
78,0.001010738893385853
79,0.0008526471734671491
80,0.0008639193281243881
81,0.0006972873111869849
82,0.0007965409448408116
83,0.0010195387437767422
84,0.0007212190767129638
85,0.0007506025240065864
86,0.0006553205246931357
87,0.0008139649766342252
88,0.0014056568672632748
89,0.000998675108072624
90,0.0007555088444935475
91,0.001317031449289284
92,0.0006626355176739651
93,0.0010484223083884467
94,0.0010157275534423808
95,0.0005391803607430871
96,0.0009546031892661456
97,0.0007169909988157659
98,0.0007359835280820719
99,0.0008205451760149596
100,0.0008060656549246257
101,0.001125780424040464
102,0.0007476267991798337
103,0.00099903430904653
104,0.0008901146115960275
105,0.0008642232437874228
106,0.0008779165213325114
107,0.0010785852539186903
108,0.0009270428063926036
109,0.0007503511562263011
110,0.001282855096370681
111,0.001077395654798233
112,0.001156571631833187
113,0.0008357957741108745
114,0.0009526014046362638
115,0.0006589306915088041
116,0.0009546494458188484
117,0.0010440328541974895
118,0.0008744273208771671
119,0.000688267515344905
120,0.0010009940539167307
121,0.0007577191137972422
122,0.0007608318757965828
123,0.0009444776503044816
124,0.0007490643329878601
125,0.0011997539187835967
126,0.0009018181328362597
127,0.0007151435448341424
128,0.0009064121035886783
129,0.001021602485812373
130,0.0009163988960118954
131,0.0007969940712334427
132,0.0007200253200214952
133,0.0010253060012597288
134,0.0010161091350532527
135,0.0006297480135882327
136,0.0007801295053624172
137,0.000770779416540982
138,0.0008329482143507447
139,0.0008114737347031927
140,0.0006755877883424457
141,0.0006865164876755544
142,0.001075168559340781
143,0.0008461230939738991
144,0.0007184747869318474
145,0.0009251267681892218
146,0.0009648934900874065
147,0.0007626677695612168
148,0.0008926489319350127
149,0.001008605869807077
150,0.0007287223373224936
151,0.0011080237715447186
152,0.0011737339849497903
153,0.0006604180504808525
154,0.000917213528533904
155,0.000769912480972171
156,0.0010227628413993037
157,0.0008724986195432171
158,0.0007074751158229973
159,0.001120517654015459
160,0.0008675216406756565
161,0.0009760954138153894
162,0.001144708649077681
163,0.0009996810819858327
164,0.0008236428566694013
165,0.0007501758020192981
166,0.0009373193173012067
167,0.0008247849242238119
168,0.0010373304423290375
169,0.000979344587467275
170,0.0009411302800104996
171,0.0005727397393051503
172,0.0006024529151906935
173,0.001069169613408258
174,0.0009087264829288744
175,0.0009836965077887057
176,0.0011621692492016994
177,0.0009084046060191643
178,0.0009192016427443719
179,0.0010840571020855519
180,0.0011590511865096423
181,0.000713695488222394
182,0.0009161565308632921
183,0.000980994094625612
184,0.0008911441918884237
185,0.0007002608032891331
186,0.00107421569142586
187,0.0011212116113183844
188,0.0010414597073714262
189,0.0010007801023930573
190,0.000782717004595252
191,0.0008565753148556973
192,0.0007825402858764647
193,0.0010191956740748557
194,0.0006088981394064346
195,0.0006415008214202589
196,0.0008418114198840337
197,0.0008472805130379603
198,0.0009301449031394159
199,0.0009452887081914902
200,0.001022865787513012
201,0.0008398145721866605
202,0.0007624108077452184
203,0.0008427913010007424
204,0.0011080875969169174
205,0.0007846402350229378
206,0.0008690406999887219
207,0.0009163530742247767
208,0.0008993047499268362
209,0.0007328696158799485
210,0.0008106500103275649
211,0.0009951936398743953
212,0.0010124089617008938
213,0.0009331721418753572
214,0.0010130510813710668
215,0.001074480916155331
216,0.0012926764855564713
217,0.0008139556532898161
218,0.0009222218822720741
219,0.0008288891980247905
220,0.0008124639793730236
221,0.0009008031942639551
222,0.0006670851045986719
223,0.0009147774253321679
224,0.000619383622172246
225,0.0011131625602809662
226,0.0008204914290832741
227,0.0011406775555303182
228,0.0008767759836188352
229,0.0008557597289562528
230,0.000666629835398971
231,0.0008220607725035053
232,0.0008653978544547443
233,0.0008522028642113488
234,0.0005862246166248909
235,0.0011971547058717933
236,0.0006793096041796294
237,0.0010161967876946253
238,0.0011953287884313413
239,0.0007381517278711615
240,0.0009956175195709668
241,0.0005695320625341432
242,0.0013309810447206718
243,0.000873992203816755
244,0.0009412320469867197
245,0.001021530154479638
246,0.0008003549607831826
247,0.0009864696541130448
248,0.0009254406709490101
249,0.000844417329981496
250,0.0007605892640717634
251,0.0006447259550683678
252,0.0007141148274245032
253,0.0009965170390603014
254,0.0008156817819953165
255,0.0008740827902292521
256,0.001192374129904047
257,0.0010797018034663344
258,0.0008309635451511017
259,0.0010949562066437917
260,0.000738568241510624
261,0.0006674462479860922
262,0.0007147039257404088
263,0.0007645686231975634
264,0.0011100713674311662
265,0.0007250576637649098
266,0.0008264158095056833
